No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details
Option 1,ITAPS - iTaps HRMS Version 1.0 - Package 1 (20 employees)					,"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_1.pdf
Option 2,ITAPS -iTaps HRMS Version 1.0 - Package 2 (45 employees),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_2.pdf
Option 3,ITAPS -iTaps HRMS Version 1.0 - Package 3 (75 employees)					,"$13,700.00","$13,700.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_3.pdf
Option 4,ITAPS -iTaps HRMS Version 1.0 - Package 4 (120 employees)					,"$19,360.00","$19,360.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_4.pdf
Option 5,ITAPS -iTaps HRMS Version 1.0 - Package 5 (200 employees)					,"$26,400.00","$26,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_5.pdf
Option 1,HReasily Online Payroll Version 5 - Package A - 5 Employees,$900.00,$900.00,https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_1.pdf
Option 2,HReasily Online Payroll Version 5 - Package B - 10 Employees,"$1,200.00","$1,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_2.pdf
Option 3,HReasily Online Payroll Version 5 - Package C - 20 Employees,"$2,200.00","$2,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_3.pdf
Option 4,HReasily Online Payroll Version 5 - Package D - 30 Employees,"$2,800.00","$2,800.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_4.pdf
Option 5,HReasily Online Payroll Version 5 - Package E - 50 Employees,"$4,600.00","$4,600.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_5.pdf
Option 1,BIPO Human Resource Management System - BIPO LITE 50,"$11,500.00","$11,500.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_1.pdf
