No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details,Cost Item
Option 1,ITAPS - iTaps HRMS Version 1.0 - Package 1 (20 employees)					,"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Software / Subscription fee
Personnel Management
- Key Employment Terms Generator
- Clock in/Out (E-attendance)
- Bulletin
Payroll Management
Leave Management
Benefits & Claims Management
Performance Appraisal Management
Employee’s Activities Dashboard/Reports
Integration to Accounting Software for Payroll
2) Hardware
Not Applicable
3)
Professional Services
Set-up including configurations & implementation
Migration of data
4)
Training
Onsite Training for Managers & employees, Online
(remote) training
5) Others
Not Applicable"
Option 2,ITAPS -iTaps HRMS Version 1.0 - Package 2 (45 employees),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Software / Subscription fee
Personnel Management
- Key Employment Terms Generator
- Clock in/Out (E-attendance)
- Bulletin
Payroll Management
Leave Management
Benefits & Claims Management
Performance Appraisal Management
Employee’s Activities Dashboard/Reports
Integration to Accounting Software for Payroll
2) Hardware
Not Applicable
3)
Professional Services
Set-up including configurations & implementation
Migration of data
4)
Training
Onsite Training for Managers & employees, Online
(remote) training
5) Others
Not Applicable"
Option 3,ITAPS -iTaps HRMS Version 1.0 - Package 3 (75 employees)					,"$13,700.00","$13,700.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Software / Subscription fee
Personnel Management
- Key Employment Terms Generator
- Clock in/Out (E-attendance)
- Bulletin
Payroll Management
Leave Management
Benefits & Claims Management
Performance Appraisal Management
Employee’s Activities Dashboard/Reports
Integration to Accounting Software for Payroll
2) Hardware
Not Applicable
3)
Professional Services
Set-up including configurations & implementation
Migration of data
4)
Training
Onsite Training for Managers & employees, Online
(remote) training
5) Others
Not Applicable"
Option 4,ITAPS -iTaps HRMS Version 1.0 - Package 4 (120 employees)					,"$19,360.00","$19,360.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Software / Subscription fee
Personnel Management
- Key Employment Terms Generator
- Clock in/Out (E-attendance)
- Bulletin
Payroll Management
Leave Management
Benefits & Claims Management
Performance Appraisal Management
Employee’s Activities Dashboard/Reports
Integration to Accounting Software for Payroll
2) Hardware
Not Applicable
3)
Professional Services
Set-up including configurations & implementation
Migration of data
4)
Training
Onsite Training for Managers & employees, Online
(remote) training
5) Others
Not Applicable"
Option 5,ITAPS -iTaps HRMS Version 1.0 - Package 5 (200 employees)					,"$26,400.00","$26,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Software / Subscription fee
Personnel Management
- Key Employment Terms Generator
- Clock in/Out (E-attendance)
- Bulletin
Payroll Management
Leave Management
Benefits & Claims Management
Performance Appraisal Management
Employee’s Activities Dashboard/Reports
Integration to Accounting Software for Payroll
2) Hardware
Not Applicable
3)
Professional Services
Set-up including configurations & implementation
Migration of data
4)
Training
Onsite Training for Managers & employees, Online
(remote) training
5) Others
Not Applicable"
Option 1,HReasily Online Payroll Version 5 - Package A - 5 Employees,$900.00,$900.00,https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_1.pdf,"1)
Software
5 employees for 1 year
Modules include: Payroll, Leave, Employee
Management, Contract, Capture, Claims,
Performance Appraisal   and Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Client and employee profile set up for module
selected
Complete onboarding of Employee Data
4)
Training
2 hours of training for usage of software
5) Others
Not Applicable"
Option 2,HReasily Online Payroll Version 5 - Package B - 10 Employees,"$1,200.00","$1,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_2.pdf,"1)
Software
10 employees for 1 year
Modules include: Payroll, Leave, Employee
Management, Contract, Capture, Claims,
Performance Appraisal   and Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Client and employee profile set up for modules
available
Complete onboarding of Employee Data
4)
Training
2 hours of training for usage of software
5) Others
Not Applicable"
Option 3,HReasily Online Payroll Version 5 - Package C - 20 Employees,"$2,200.00","$2,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_3.pdf,"1)
Software
20 employees for 1 year
Modules include: Payroll, Leave, Employee
Management, Contract, Capture, Claims,
Performance Appraisal   and Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Client and employee profile set up for modules
available
Complete onboarding of Employee Data
4)
Training
2 hours of training for usage of software
5) Others
Not Applicable"
Option 4,HReasily Online Payroll Version 5 - Package D - 30 Employees,"$2,800.00","$2,800.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_4.pdf,"1)
Software
30 employees for 1 year
Modules include: Payroll, Leave, Employee
Management, Contract, Capture, Claims,
Performance Appraisal   and Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Client and employee profile set up for modules
available
Complete onboarding of Employee Data
4)
Training
2 hours of training for usage of software
5) Others
Not Applicable"
Option 5,HReasily Online Payroll Version 5 - Package E - 50 Employees,"$4,600.00","$4,600.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_5.pdf,"1)
Software
50 employees for 1 year
Modules include: Payroll, Leave, Employee
Management, Contract, Capture, Claims,
Performance Appraisal   and Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Client and employee profile set up for modules
available
Complete onboarding of Employee Data
4)
Training
2 hours of training for usage of software
5) Others
Not Applicable"
